Holes,In a Hole,The Jesus and Mary Chain
Rise,Rise,Public Image Limited
L,Lay Lady Lay,Bob Dylan
Up to eleven,Bulls on Parade,Rage Against The Machine
Tuesday,Ruby Tuesday,The Rolling Stones
Clock Sounds,A Day In The Life,The Beatles
Naked,Torn,Natalie Imbruglia
Medieval Vibe,Knights of The Round Table,Monty Python
Foolishness,Fooled Around and Fell in Love,Elvin Bishop
Early,Sunday Morning,Velvet Underground
Meta,Glass Onion,The Beatles
Early MTV,Shock The Monkey,Peter Gabriel
touching,Touch Me,The Doors
Diamonds in the Rough,Karma Chameleon,Culture Club
Stitches,Sewn Back Together Wrong,Dethklok
Misspelings,Check The Rhime,A Tribe Called Quest
Colin,Take Me Home,Phil Collins
Caring,Ticket to Ride,The Beatles
Caring,Caring is Creepy,The Shins
January,January Wedding,The Avett Brothers
Trashy,I Love Trash,Oscar the Grouch
MTT Nominations,Old Man,Love
Medicine,Novocaine For The Soul,Eels
Under,Going Underground,The Jam
Band Tragedies,Back On The Chain Gang,The Pretenders
Band Tragedies,Hallelujah,Jeff Buckley
Rhymes,Insane In The Brain,Cypress Hill
Birds,When Doves Cry,Prince
VIPs,Career Opportunities,The Clash
Bald,The Everlasting Gaze,The Smashing Pumpkins
Rejection,We Are Never Ever Getting Back Together,Taylor Swift
Darwin,Pepper,Butthole Surfers
Fast,Jerry Was A Race Car Driver,Primus
Fast,Fast Cars,Buzzcocks
Overworked,Working in the Coalmine,Devo
Antonym,Run Of Death,Smooth sailing
Complaining,Satisfaction,The Rolling Stones
Scream,Earth Died Screaming,Tom Waits
Baseball,For The Turnstiles,Neil Young
Trump playlist,Wonderwall,Oasis
Trump playlist,Kill The Poor,Dead Kennedys
Running,Take It On The Run,REO Speedwagon
World,Ana Ng,They Might Be Giants
World,The World I Know,Collective Soul
Waiting,Waiting On A Friend,The Rolling Stones
Grunge,Heart Shaped Box,Father John Misty
Liquor,Jesus and Tequila,Minutemen
Sub choice,Me and Julio Down by the Schoolyard,Paul Simon
Soft Drinks,Mellow Yellow,Donovan
Storms,Riders On The Storm,The Doors
The Sun,Waiting For The Sun,The Doors
Angst,Once In a Lifetime,Talking Heads
Well,Well Well Well,John Lennon
Florida,Walk on the Wild Side,Lou Reed
Colours,Black Tie White Noise,David Bowie
Grass,Second Hand News,Fleetwood Mac
Spicy,Sex Dwarf,Soft Cell
Love conjugations,The Lovecats,The Cure
Black Again,Fell On Black Days,Soundgarden
Firsts,Killing An Arab,The Cure
Legal Woes,Bitter Sweet Symphony,The Verve
Sharing,Imagine,John Lennon
Comfort,Lean On Me,Bill Withers
Misogyny,Piss up a Rope,Ween
Misogyny,Smack My Bitch Up,The Prodigy
Holes,Bunghole Sun,Beavis and Butthead
Force,Killing In the Name,Rage Against The Machine
Conflict,We Can Work it Out,The Beatles
Judaism,Tradition,Fiddler on the Roof
Talking,Something To Talk About,Bonnie Raitt
Radio Retirement,Sledgehammer,Peter Gabriel
Reading,If You Could Read My Mind,Gordon Lightfoot
Epic Solos,crazy little thing called love,Queen
Big bands,East Hastings,Godspeed You Black Emperor
Cemeteries,Cemetry Gates,The Smiths
Prog Rock,Thick As A Brick,Jethro Tull
Prog Rock,The Lamb Lies Down On Broadway,Genesis
Stoner Sludge Metal,Honey Bucket,Melvins
Pants,Forever in Blue Jeans,Neil Diamond
Before They Were Sampled,I Got A Woman,Ray Charles
Trademarks,Dani California,Red Hot Chili Peppers
My Top Tune,El Scorcho,Weezer
My Top Tune,Louie Louie,The Kingsmen
Standalone,This Is Radio Clash,The Clash
Standalone,We Can Work it Out,The Beatles
Concert Openers,Police on my back,The Clash
Songs That Teach,Hurricane,Bob Dylan
pretentious,Sprawl II,Arcade Fire
Studio mistakes,Oh Comely,Neutral Milk Hotel
aaaaand,Titties and Beer,Frank Zappa
Death,Keep Me In Your Heart,Warren Zevon
Ringtones,Ding Dong The Witch Is Dead,Klaus Nomi
Reminiscing,American Pie,Don McLean
Countdowns,The Final Countdown,Europe
Silly,Sit on My Face,Monty Python
Space,Satellite of Love,Lou Reed
New Starts,Feeling Good,Nina Simone
Nobody,Nowhere Man,The Beatles
Architecture,We Built This City,Starship
Medicine,Cure For Pain,Morphine
Medicine,The Pill,Loretta Lynn
Under,Under the Boardwalk,The Drifters
Overworked,Harder Better Faster,Daft Punk
Antonym,Orange Friday,Old Anarchy
Grocery,Abominable Snowman In The Market,Jonathan Richman and The Modern Lovers
